City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1297,Tuatapere,NZ,48.99,moderate rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
1303,Redmond,US,50.0,light rain,47.67,-122.12,Seattle Marriott Redmond
1308,Oriximina,BR,89.37,light rain,-1.77,-55.87,Pousada Tia Amélia
1319,San Francisco,CO,56.48,light rain,1.17,-76.88,Estación de Policía San Francisco
1321,Lorengau,PG,83.37,light rain,-2.02,147.27,Lorengau Harbourside Hotel
1324,Frederico Westphalen,BR,83.52,moderate rain,-27.36,-53.4,Hotel Palace Frederico
1330,Immokalee,US,71.01,moderate rain,26.42,-81.42,Seminole Casino Hotel Immokalee
1332,Watsa,CD,69.1,light rain,3.04,29.53,Hôtel Le Pacifique
1349,Meulaboh,ID,81.86,light rain,4.14,96.13,Kost Pria
1356,Canoinhas,BR,81.21,light rain,-26.18,-50.4,Santa Catarina Plaza Hotel
1369,Sumbe,AO,80.26,light rain,-11.2,13.84,Hotel Ritz Sumbe
1385,Kudahuvadhoo,MV,82.87,light rain,2.67,72.89,Orange Inn Maldives
1389,Inhambane,MZ,74.79,light rain,-23.87,35.38,MHL Turismo SA
1422,Sola,TZ,75.83,light rain,-3.17,33.8,Peace Hotel
1442,Shakiso,ET,59.76,light rain,5.77,38.9,Heluya International Hotel
1453,Qinhuangdao,CN,52.09,light rain,39.94,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
1455,Kasongo,CD,74.53,light rain,-4.43,26.67,Kago Hotel
1465,Inirida,CO,83.8,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
1471,Soreang,ID,70.45,light rain,-7.03,107.52,Sutan Raja Hotel and Convention Centre
1475,Tingloy,PH,77.0,light rain,13.66,120.87,Sea's Spring Resort
1488,Bad Sachsa,DE,45.0,light rain,51.6,10.55,Göbel's Vital Hotel
1519,Belmonte,PT,54.0,overcast clouds,40.36,-7.35,Pousada Convento de Belmonte
1546,Dukat,AL,63.0,moderate rain,40.25,19.57,Llogora Tourist Village
1551,Sishui,CN,59.0,light rain,35.66,117.27,Central Garden Hotel
1558,Hofn,IS,45.32,light rain,64.25,-15.21,Hótel Höfn
1559,Rikitea,PF,73.42,light rain,-23.12,-134.97,Pension Maro'i
1576,Finschhafen,PG,78.17,moderate rain,-6.6,147.85,
1598,Kapaa,US,71.6,moderate rain,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
1600,Kaitangata,NZ,51.01,moderate rain,-46.28,169.85,
1602,Mataura,NZ,48.99,moderate rain,-46.19,168.86,Ellie's Villa
1623,Manokwari,ID,74.1,light rain,-0.87,134.08,Swiss Belhotel Manokwari
1650,Majene,ID,76.69,light rain,-3.54,118.97,Kost Putri RABBANI
1651,Olinda,AU,54.0,light rain,-37.84,145.39,Mary Cards Coach House
1652,Tangshan,CN,53.01,light rain,39.63,118.17,Civil Affairs Hotel
1653,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
1665,Tevaitoa,PF,80.4,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
1673,San Quintin,PH,72.5,light rain,17.54,120.52,San Quintin River Resort
1706,Faanui,PF,80.8,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1711,Kavieng,PG,79.39,moderate rain,-2.57,150.8,Nusa Island Retreat
1712,Mendi,ET,66.67,light rain,9.8,35.1,Jline Nus Hotel
1745,Richards Bay,ZA,69.26,light rain,-28.77,32.06,BON Hotel Waterfront Richards Bay
1751,Zetel,DE,45.0,light rain,53.42,7.97,Friesische Wehde
1754,Ko Samui,TH,81.28,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
1759,Kandrian,PG,72.91,light rain,-6.21,149.55,
1766,Santiago,PH,70.38,heavy intensity rain,16.69,121.54,GraceHill EconoSuites
1799,Kalmunai,LK,81.77,light rain,7.42,81.82,VS Villa
1810,Tuatapere,NZ,48.99,moderate rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
1816,Redmond,US,50.0,light rain,47.67,-122.12,Seattle Marriott Redmond
1821,Oriximina,BR,89.37,light rain,-1.77,-55.87,Pousada Tia Amélia
1832,San Francisco,CO,56.48,light rain,1.17,-76.88,Estación de Policía San Francisco
1834,Lorengau,PG,83.37,light rain,-2.02,147.27,Lorengau Harbourside Hotel
1837,Frederico Westphalen,BR,83.52,moderate rain,-27.36,-53.4,Hotel Palace Frederico
1843,Immokalee,US,71.6,light intensity drizzle,26.42,-81.42,Seminole Casino Hotel Immokalee
1845,Watsa,CD,69.1,light rain,3.04,29.53,Hôtel Le Pacifique
1862,Meulaboh,ID,81.86,light rain,4.14,96.13,Kost Pria
1869,Canoinhas,BR,81.21,light rain,-26.18,-50.4,Santa Catarina Plaza Hotel
1882,Sumbe,AO,80.26,light rain,-11.2,13.84,Hotel Ritz Sumbe
1898,Kudahuvadhoo,MV,82.87,light rain,2.67,72.89,Orange Inn Maldives
1902,Inhambane,MZ,74.79,light rain,-23.87,35.38,MHL Turismo SA
1935,Sola,TZ,75.83,light rain,-3.17,33.8,Peace Hotel
1955,Shakiso,ET,59.76,light rain,5.77,38.9,Heluya International Hotel
1966,Qinhuangdao,CN,52.09,light rain,39.94,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
1968,Kasongo,CD,74.53,light rain,-4.43,26.67,Kago Hotel
1978,Inirida,CO,83.8,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
1984,Soreang,ID,70.45,light rain,-7.03,107.52,Sutan Raja Hotel and Convention Centre
1988,Tingloy,PH,77.0,light rain,13.66,120.87,Sea's Spring Resort
2001,Bad Sachsa,DE,45.0,light rain,51.6,10.55,Göbel's Vital Hotel
2032,Belmonte,PT,54.0,overcast clouds,40.36,-7.35,Pousada Convento de Belmonte
2042,Lannion,FR,48.99,light rain,48.73,-3.46,Hotel Arcadia
2059,Dukat,AL,63.0,moderate rain,40.25,19.57,Llogora Tourist Village
2064,Sishui,CN,59.0,light rain,35.66,117.27,Central Garden Hotel
2071,Hofn,IS,45.32,light rain,64.25,-15.21,Hótel Höfn
2072,Rikitea,PF,73.42,light rain,-23.12,-134.97,Pension Maro'i
2089,Finschhafen,PG,78.17,moderate rain,-6.6,147.85,
2096,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
2111,Kapaa,US,71.6,moderate rain,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
2113,Kaitangata,NZ,50.0,moderate rain,-46.28,169.85,
2115,Mataura,NZ,48.99,moderate rain,-46.19,168.86,Ellie's Villa
2136,Manokwari,ID,74.1,light rain,-0.87,134.08,Swiss Belhotel Manokwari
2163,Majene,ID,76.69,light rain,-3.54,118.97,Kost Putri RABBANI
2164,Olinda,AU,54.0,light rain,-37.84,145.39,Mary Cards Coach House
2165,Tangshan,CN,57.99,light rain,39.63,118.17,Civil Affairs Hotel
2166,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
2178,Tevaitoa,PF,80.4,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
2186,San Quintin,PH,72.5,light rain,17.54,120.52,San Quintin River Resort
2196,Naze,NG,82.69,light rain,5.43,7.07,Female Hostel C
2219,Faanui,PF,80.8,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
2224,Kavieng,PG,79.39,moderate rain,-2.57,150.8,Nusa Island Retreat
2225,Mendi,ET,66.67,light rain,9.8,35.1,Jline Nus Hotel
2258,Richards Bay,ZA,69.26,light rain,-28.77,32.06,BON Hotel Waterfront Richards Bay
2267,Ko Samui,TH,81.28,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
2272,Kandrian,PG,72.91,light rain,-6.21,149.55,
2279,Santiago,PH,70.38,heavy intensity rain,16.69,121.54,GraceHill EconoSuites
2312,Kalmunai,LK,81.77,light rain,7.42,81.82,VS Villa
