City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain Inches (last 3hrs),Snow Inches (last 3 hrs)
178,Thompson,CA,11/9/2019 16:09,55.74,-97.86,-5.81,83,40,5.82,scattered clouds,0,0
179,Omsukchan,RU,11/9/2019 16:09,62.53,155.8,4.91,96,100,12.24,light snow,0,0.38
180,Oshkosh,US,11/9/2019 16:09,44.02,-88.54,36,59,1,10.29,clear sky,0,0
181,Rio Tercero,AR,11/9/2019 16:09,-32.17,-64.11,85.41,40,55,6.8,broken clouds,0,0
182,Alekseyevsk,RU,11/9/2019 16:09,57.84,108.35,29.97,97,100,8.48,light snow,0,0.38
183,Cabinda,AO,11/9/2019 16:09,-5.56,12.19,86,79,40,6.93,scattered clouds,0,0
184,Touros,BR,11/9/2019 16:09,-5.2,-35.46,87.8,48,40,16.11,scattered clouds,0,0
185,Lavrentiya,RU,11/9/2019 16:10,65.58,-170.99,34.32,97,100,7.38,light rain,1.81,0
186,Husavik,CA,11/9/2019 16:10,50.56,-96.99,26.01,94,100,5.99,overcast clouds,0,0
187,Cabo San Lucas,MX,11/9/2019 16:10,22.89,-109.91,84,51,75,2.24,broken clouds,0,0
188,Suntar,RU,11/9/2019 16:10,62.16,117.65,23.88,93,100,6.06,overcast clouds,0,0
189,Saint-Philippe,CA,11/9/2019 16:10,45.36,-73.48,34,66,90,8.05,overcast clouds,0,0
190,Geraldton,CA,11/9/2019 16:10,49.72,-86.95,15.8,85,90,6.93,light snow,0,0
191,Along,IN,11/9/2019 16:10,28.17,94.8,63.07,84,100,2.86,overcast clouds,0,0
192,Richards Bay,ZA,11/9/2019 16:10,-28.77,32.06,69.08,74,63,14.63,broken clouds,0,0
193,Poum,MK,11/9/2019 16:10,41.28,20.71,51.8,87,75,1.12,light rain,0,0
194,Pacifica,US,11/9/2019 16:10,37.61,-122.49,53.01,93,90,3.36,fog,0,0
195,Manaure,CO,11/9/2019 16:10,11.78,-72.45,83.82,78,99,14.5,overcast clouds,0,0
196,Jiuquan,CN,11/9/2019 16:10,39.73,98.49,34.7,27,0,3.98,clear sky,0,0
197,Havre-Saint-Pierre,CA,11/9/2019 16:10,50.23,-63.6,26.6,45,1,13.87,clear sky,0,0
198,Zetel,DE,11/9/2019 16:10,53.42,7.97,44.01,93,75,9.17,broken clouds,0,0
199,Bikramganj,IN,11/9/2019 16:10,25.22,84.27,75.61,68,98,4.29,overcast clouds,0,0
200,Ujhani,IN,11/9/2019 16:10,28,79.01,75.43,39,0,5.37,clear sky,0,0
201,Ko Samui,TH,11/9/2019 16:05,9.54,99.94,84.2,74,20,4.7,shower rain,0,0
202,Zomba,MW,11/9/2019 16:10,-15.39,35.33,75.2,57,75,11.41,thunderstorm with light rain,0,0
203,Grimshaw,CA,11/9/2019 16:10,56.19,-117.61,8.6,71,90,12.75,light snow,0,0
204,Grand Gaube,MU,11/9/2019 16:10,-20.01,57.66,75.2,73,75,6.93,shower rain,0,0
205,Santa Cruz,BR,11/9/2019 16:10,-6.22,-36.02,94.77,33,11,11.95,few clouds,0,0
206,Kandrian,PG,11/9/2019 16:10,-6.21,149.55,73.4,96,100,2.57,moderate rain,3.75,0
207,Aykhal,RU,11/9/2019 16:10,65.95,111.51,-4.01,83,90,4.47,light snow,0,0
208,Nueva Loja,EC,11/9/2019 16:10,0.08,-76.88,77,88,90,8.05,overcast clouds,0,0
209,Torbay,CA,11/9/2019 16:09,47.66,-52.73,37.99,59,75,19.46,broken clouds,0,0
210,Tasiilaq,GL,11/9/2019 16:10,65.61,-37.64,39.2,38,100,26.4,overcast clouds,0,0
211,Xinqing,CN,11/9/2019 16:10,48.28,129.53,18.73,70,0,4.34,clear sky,0,0
212,Tommot,RU,11/9/2019 16:10,58.97,126.27,4.37,87,100,2.55,overcast clouds,0,0
213,Santiago,PH,11/9/2019 16:10,16.69,121.54,71.06,99,100,1.7,heavy intensity rain,17.5,0
214,Sapouy,BF,11/9/2019 16:10,11.55,-1.77,98.58,18,46,6.24,scattered clouds,0,0
215,Bintulu,MY,11/9/2019 16:10,3.17,113.03,77,94,75,1.41,thunderstorm,0,0
216,Port Lincoln,AU,11/9/2019 16:10,-34.72,135.86,50.63,86,0,5.97,clear sky,0,0
217,Oksfjord,NO,11/9/2019 16:10,70.24,22.35,12.2,85,0,10.29,clear sky,0,0
218,New Norfolk,AU,11/9/2019 16:10,-42.78,147.06,50,57,75,10.29,broken clouds,0,0
219,Clyde River,CA,11/9/2019 16:10,70.47,-68.59,21.2,79,90,17.22,light snow,0,0
220,San Rafael,AR,11/9/2019 16:10,-34.61,-68.33,72.86,39,0,10.47,clear sky,0,0
221,Axim,GH,11/9/2019 16:10,4.87,-2.24,89.89,51,55,6.98,broken clouds,0,0
222,Thohoyandou,ZA,11/9/2019 16:10,-22.97,30.46,75.34,57,77,10.38,broken clouds,0,0
223,Arraial Do Cabo,BR,11/9/2019 16:10,-22.97,-42.02,82.4,74,75,11.41,broken clouds,0,0
224,Jishou,CN,11/9/2019 16:10,28.26,109.7,57.51,62,100,2.04,overcast clouds,0,0
225,Kviteseid,NO,11/9/2019 16:10,59.4,8.49,33.8,69,75,3.36,broken clouds,0,0
226,Terney,RU,11/9/2019 16:10,45.05,136.61,20.95,46,25,5.37,scattered clouds,0,0
227,Kingori,TZ,11/9/2019 16:10,-3.38,37.02,77,73,75,11.41,broken clouds,0,0
228,Buraydah,SA,11/9/2019 16:10,26.33,43.97,84.2,32,40,8.05,scattered clouds,0,0
229,Port Hardy,CA,11/9/2019 16:10,50.7,-127.42,48.2,93,90,9.17,overcast clouds,0,0
230,Tomatlan,MX,11/9/2019 16:10,19.93,-105.25,77.2,68,66,2.71,broken clouds,0,0
231,Qostanay,KZ,11/9/2019 16:07,53.17,63.58,17.6,85,71,15.66,broken clouds,0,0
232,Guozhen,CN,11/9/2019 16:10,29.3,113.14,65.55,47,100,2.84,overcast clouds,0,0
233,Lompoc,US,11/9/2019 16:10,34.64,-120.46,70,81,1,7.45,clear sky,0,0
234,Ribeira Grande,PT,11/9/2019 16:10,38.52,-28.7,68,68,20,5.82,few clouds,0,0
235,Darhan,MN,11/9/2019 16:10,49.49,105.92,34.48,66,100,0.58,overcast clouds,0,0
236,Aknada,RU,11/9/2019 16:10,43.38,46.91,51.1,88,57,2.19,broken clouds,0,0
237,Port Augusta,AU,11/9/2019 16:06,-32.49,137.76,59,67,90,10.29,overcast clouds,0,0
238,Namibe,AO,11/9/2019 16:10,-15.19,12.15,76.32,82,0,17.6,clear sky,0,0
239,Lagos,NG,11/9/2019 16:10,6.46,3.39,82.4,83,75,9.17,thunderstorm,0,0
240,Sitka,US,11/9/2019 16:10,37.17,-99.65,59,37,0,3,clear sky,0,0
241,Rio Grande,BR,11/9/2019 16:10,-32.03,-52.1,80.6,65,75,16.11,broken clouds,0,0
242,Ballina,IE,11/9/2019 16:10,54.11,-9.15,48,81,40,12.75,shower rain,0,0
243,Verkhoyansk,RU,11/9/2019 16:10,67.55,133.39,-21.61,98,18,0.13,few clouds,0,0
244,Port Hedland,AU,11/9/2019 16:10,-20.31,118.58,73.4,83,10,6.93,clear sky,0,0
245,Mackay,CA,11/9/2019 16:10,53.65,-115.58,15.8,85,90,8.05,light snow,0,0
246,Kalmunai,LK,11/9/2019 16:10,7.42,81.82,82.89,77,91,14.58,light rain,2.13,0
247,Tambongon,PH,11/9/2019 16:10,7.26,125.66,75.2,100,75,8.05,broken clouds,0,0
248,Lata,IN,11/9/2019 16:10,30.78,78.62,23.85,85,0,2.51,clear sky,0,0
249,Bacabal,BR,11/9/2019 16:10,-4.23,-44.78,93.78,44,100,6.26,overcast clouds,0,0
250,Taree,AU,11/9/2019 16:10,-31.91,152.46,52,81,4,4.7,clear sky,0,0
251,Lasa,CY,11/9/2019 16:10,34.92,32.53,75.2,64,11,4.03,few clouds,0,0
252,Kurilsk,RU,11/9/2019 16:10,45.23,147.88,34.23,78,68,8.55,light snow,0,0.13
253,Lensk,RU,11/9/2019 16:10,60.71,114.91,25.75,95,97,7.45,light snow,0,0.19
254,Mayor Pablo Lagerenza,PY,11/9/2019 16:10,-19.93,-60.77,100.58,26,0,10.51,clear sky,0,0
255,Sao Jose Da Coroa Grande,BR,11/9/2019 16:10,-8.9,-35.15,79.83,74,100,12.8,overcast clouds,0,0
256,Spirit River,CA,11/9/2019 16:06,55.78,-118.84,12.2,85,90,12.75,light snow,0,0
257,Tuatapere,NZ,11/9/2019 16:10,-46.13,167.69,48,95,100,5.01,light rain,2.13,0
258,Cam Ranh,VN,11/9/2019 16:10,11.92,109.15,77,88,75,4.29,light rain,0,0
259,Prince Rupert,CA,11/9/2019 16:10,54.32,-130.32,50,93,20,13.87,few clouds,0,0
